Source title;CiteScore;Highest percentile;2021-24 Citations;2021-24 Documents;% Cited;SNIP;SJR;Publisher
Journal of Finance and Data Science;6,5;"93.0%
21/293
Statistics and Probability";452;70;70;1,574;0,883;KeAi Communications Co.
Operational Research;6,4;"90.0%
9/88
Numerical Analysis";2746;426;80;1,01;0,659;Springer Nature
Career Development and Transition for Exceptional Individuals;6,4;"89.0%
177/1620
Education";470;73;74;3,216;1,9;SAGE
Financial Analysts Journal;6,4;"81.0%
135/731
Economics and Econometrics";638;100;74;2,041;2,148;Taylor & Francis
Journal of Small Business and Enterprise Development;6,4;"84.0%
33/208
Business, Management and Accounting (miscellaneous)";1587;247;80;1,184;0,809;Emerald Publishing
Journal of Organizational Change Management;6,4;"74.0%
60/234
Organizational Behavior and Human Resource Management";1829;287;75;1,144;0,777;Emerald Publishing
Journal of Islamic Accounting and Business Research;6,4;"80.0%
36/182
Accounting";1668;262;91;1,295;0,424;Emerald Publishing
International Journal of Health Geographics;6,4;"84.0%
106/687
Public Health, Environmental and Occupational Health";807;126;85;1,095;0,953;Springer Nature
Transfer;6,4;"82.0%
11/61
Industrial Relations";607;95;87;1,9;1,191;SAGE
Journal of Civil Engineering and Management;6,4;"79.0%
83/407
Civil and Structural Engineering";1224;190;76;1,196;0,707;Vilnius Gediminas Technical University
International Journal of Information Systems and Project Management;6,4;"77.0%
43/190
Information Systems and Management";408;64;84;1,422;0,711;Universidade do Minho
Business Ethics, the Environment and Responsibility;6,4;"98.0%
11/854
Philosophy";1850;288;89;1,168;0,84;John Wiley & Sons
Information Technology and Management;6,3;"90.0%
52/535
Communication";491;78;83;1,207;0,643;Springer Nature
Journal of Macromarketing;6,3;"63.0%
78/215
Marketing";1173;185;77;1,262;1,134;SAGE
Information Society;6,3;"98.0%
23/1371
Cultural Studies";562;89;81;1,756;1,245;Taylor & Francis
Journal of Quality Technology;6,3;"79.0%
49/235
Safety, Risk, Reliability and Quality";793;126;77;2,002;1,068;Taylor & Francis
International Journal of Systems Science: Operations and Logistics;6,3;"77.0%
44/190
Information Systems and Management";1555;245;71;1,197;0,755;Taylor & Francis
Measuring Business Excellence;6,3;"76.0%
54/225
General Business, Management and Accounting";778;123;80;1,282;0,726;Emerald Publishing
Production Engineering Archives;6,3;"79.0%
48/235
Safety, Risk, Reliability and Quality";1217;193;88;1,022;0,457;Walter de Gruyter
Electricity Journal;6,3;"96.0%
39/1105
Law";1815;289;78;0,833;0,759;Elsevier
Italian Journal of Marketing;6,3;"63.0%
79/215
Marketing";487;77;83;1,163;0,71;Springer Nature
Journal of Asia Business Studies;6,2;"91.0%
24/284
General Economics, Econometrics and Finance";1429;232;75;1,05;0,701;Emerald Publishing
Journal of Global Responsibility;6,2;"73.0%
122/451
Business and International Management";571;92;83;1,177;0,732;Emerald Publishing
Asian Business and Management;6,2;"94.0%
43/738
Political Science and International Relations";1017;164;84;1;0,721;Springer Nature
Journal of Economic and Administrative Sciences;6,2;"83.0%
35/208
Business, Management and Accounting (miscellaneous)";1120;181;87;1,237;0,53;Emerald Publishing
OR Spectrum;6,1;"82.0%
36/208
Business, Management and Accounting (miscellaneous)";921;150;75;1,316;0,894;Springer Nature
Public Personnel Management;6,1;"85.0%
35/242
Public Administration";601;99;84;1,432;0,926;SAGE
Journal of Promotion Management;6,1;"62.0%
81/215
Marketing";1073;176;84;1,036;0,849;Taylor & Francis
Managing Sport and Leisure;6,1;"66.0%
51/151
Tourism, Leisure and Hospitality Management";971;158;91;1,141;0,596;Taylor & Francis
International Journal of Tourism Cities;6,1;"85.0%
126/841
Geography, Planning and Development";1518;247;81;1,297;0,681;Emerald Publishing
Asian Journal of Accounting Research;6,1;"79.0%
38/182
Accounting";553;90;83;1,744;0,585;Emerald Publishing
Brookings Papers on Economic Activity;6,1;"80.0%
143/731
Economics and Econometrics";268;44;80;3,585;3,884;Brookings Institution Press
Journal of Global Sport Management;6,1;"70.0%
147/496
Strategy and Management";862;142;89;1,246;0,682;Taylor & Francis
Management Learning;6,1;"70.0%
148/496
Strategy and Management";904;149;89;1,703;1,672;SAGE
Federal Reserve Bank of St. Louis Review;6,1;"72.0%
126/451
Business and International Management";399;65;55;1,496;0,654;Federal Reserve Bank of St.Louis
Management International Review;6,1;"71.0%
127/451
Business and International Management";689;113;80;1,134;1,184;Springer Nature
Accounting, Organizations and Society;6,1;"91.0%
123/1497
Sociology and Political Science";885;144;83;2,479;2,118;Elsevier
Fashion and Textiles;6,1;"98.0%
25/1371
Cultural Studies";1054;174;77;1,49;0,75;Springer Nature
Journal of Marketing Analytics;6,1;"88.0%
20/175
Statistics, Probability and Uncertainty";1068;175;81;1,494;0,787;Springer Nature
World Journal of Science, Technology and Sustainable Development;6,1;"81.0%
12/61
Industrial Relations";307;50;62;0,837;0,507;World Association for Sustainable Development
PSU Research Review;6,1;"93.0%
46/674
Social Sciences (miscellaneous)";551;91;82;2,461;0,581;Emerald Publishing
Kybernetes;6,1;"93.0%
45/674
Social Sciences (miscellaneous)";5075;833;86;1;0,606;Emerald Publishing
Governance;6;"91.0%
135/1497
Sociology and Political Science";1497;250;84;2,057;1,426;John Wiley & Sons
Cartography and Geographic Information Science;6;"84.0%
134/841
Geography, Planning and Development";869;145;88;1,308;0,538;Taylor & Francis
Sports Coaching Review;6;"92.0%
48/674
Social Sciences (miscellaneous)";398;66;82;1,444;1,191;Taylor & Francis
Journal of Consumer Marketing;6;"71.0%
130/451
Business and International Management";1497;251;80;1,019;0,967;Emerald Publishing
Business Perspectives and Research;6;"71.0%
129/451
Business and International Management";613;102;78;0,968;0,493;SAGE
Industrial and Corporate Change;6;"90.0%
28/284
General Economics, Econometrics and Finance";1613;270;79;1,569;1,28;Oxford University Press
Journal of Business Economics and Management;6;"81.0%
38/208
Business, Management and Accounting (miscellaneous)";1577;262;76;0,988;0,592;Vilnius Gediminas Technical University
Journal of Risk Research;6;"90.0%
27/285
General Social Sciences";2066;347;73;0,997;0,634;Taylor & Francis
International Journal of Industrial Engineering and Management;6;"81.0%
39/208
Business, Management and Accounting (miscellaneous)";579;97;82;1,115;0,595;University of Novi Sad
Educational Assessment, Evaluation and Accountability;6;"86.0%
212/1620
Education";528;88;90;1,82;1,138;Springer Nature
Operations and Supply Chain Management;6;"88.0%
21/175
Statistics, Probability and Uncertainty";1026;170;78;0,801;0,524;Operations and Supply Chain Management Forum
Journal of Organizational and End User Computing;5,9;"71.0%
275/947
Computer Science Applications";1447;245;69;0,932;0,514;IGI Global Publishing
Industry and Higher Education;5,9;"86.0%
221/1620
Education";1441;244;78;1,206;0,599;SAGE
Accounting Forum;5,9;"80.0%
67/333
Finance";509;87;90;1,755;0,923;Taylor & Francis
Journal of Sport Management;5,9;"87.0%
33/254
Physical Therapy, Sports Therapy and Rehabilitation";958;163;80;1,827;1,352;Human Kinetics Publishers Inc.
Work, Aging and Retirement;5,9;"90.0%
141/1497
Sociology and Political Science";669;114;85;1,413;1,248;Oxford University Press
Marketing Letters;5,9;"79.0%
148/731
Economics and Econometrics";1041;176;73;1,235;2,036;Springer Nature
Nonprofit Management and Leadership;5,9;"69.0%
154/496
Strategy and Management";871;148;77;1,649;1,208;John Wiley & Sons
Journal of Organizational Effectiveness;5,9;"72.0%
66/234
Organizational Behavior and Human Resource Management";856;144;83;1,466;0,877;Emerald Publishing
International Journal of Islamic and Middle Eastern Finance and Management;5,9;"80.0%
66/333
Finance";1401;236;75;1,437;0,525;Emerald Publishing
Journal of Healthcare Leadership;5,9;"91.0%
4/41
Leadership and Management";705;120;63;1,846;1,264;Dove Medical Press
Bulletin of Science, Technology and Society;5,8;"96.0%
10/239
History and Philosophy of Science";213;37;68;1,098;0,807;SAGE
Journal of Business and Technical Communication;5,8;"89.0%
59/535
Communication";450;78;85;1,276;1,047;SAGE
Quality Technology and Quantitative Management;5,8;"77.0%
14/61
Industrial Relations";898;156;86;2,102;1,018;Taylor & Francis
Journal of Enterprising Communities;5,8;"79.0%
150/731
Economics and Econometrics";1142;198;81;0,968;0,613;Emerald Publishing
Annals of Leisure Research;5,8;"98.0%
27/1371
Cultural Studies";804;138;84;1,318;0,661;Taylor & Francis
Vision;5,8;"70.0%
134/451
Business and International Management";1225;212;74;0,622;0,393;SAGE
Accounting and Finance;5,8;"85.0%
37/260
Economics, Econometrics and Finance (miscellaneous)";3908;674;69;1,269;0,895;John Wiley & Sons
Journal of Accounting and Organizational Change;5,8;"78.0%
40/182
Accounting";873;150;77;1,385;0,699;Emerald Publishing
International Journal of Mining, Reclamation and Environment;5,7;"84.0%
52/330
Geology";953;166;85;1,125;0,573;Taylor & Francis
South Asian Journal of Business Studies;5,7;"97.0%
32/1371
Cultural Studies";548;96;84;1,427;0,656;Emerald Publishing
Journal of Convention and Event Tourism;5,7;"63.0%
56/151
Tourism, Leisure and Hospitality Management";430;76;71;1,16;0,528;Taylor & Francis
Journal of Modelling in Management;5,7;"69.0%
67/218
Management Science and Operations Research";1488;261;79;0,886;0,541;Emerald Publishing
Qualitative Research in Financial Markets;5,7;"79.0%
70/333
Finance";776;136;85;1,379;0,571;Emerald Publishing
Advances in Production Engineering and Management;5,7;"79.0%
19/91
Nuclear and High Energy Physics";803;142;73;1,09;0,645;Production Engineering Institute
Architectural Engineering and Design Management;5,6;"92.0%
16/203
Architecture";1153;206;79;1,663;0,787;Taylor & Francis
International Journal of Wine Business Research;5,6;"73.0%
60/225
General Business, Management and Accounting";624;111;79;1,195;0,633;Emerald Publishing
European Journal of Industrial Relations;5,6;"71.0%
64/225
General Business, Management and Accounting";496;89;72;1,666;1,238;SAGE
Australian Journal of Management;5,6;"74.0%
59/225
General Business, Management and Accounting";717;127;80;1,068;0,733;SAGE
International Journal of Service Science, Management, Engineering, and Technology;5,6;"86.0%
27/200
";719;129;81;0,575;0,31;IGI Global Publishing
Administrative Sciences;5,6;"72.0%
62/225
General Business, Management and Accounting";5239;937;72;1,261;0,706;Multidisciplinary Digital Publishing Institute (MDPI)
Journal of Business Economics;5,6;"78.0%
159/731
Economics and Econometrics";961;172;83;0,966;0,667;Springer Nature
Journal of Advanced Transportation;5,5;"78.0%
160/731
Economics and Econometrics";7030;1268;80;0,887;0,579;John Wiley & Sons
Administration and Society;5,5;"88.0%
170/1497
Sociology and Political Science";1379;252;77;1,414;1,082;SAGE
Entrepreneurship Education and Pedagogy;5,5;"84.0%
258/1620
Education";699;128;74;1,003;0,578;SAGE
Journal of International Accounting, Auditing and Taxation;5,5;"78.0%
72/333
Finance";747;136;80;1,538;0,746;Elsevier
International Journal of Disclosure and Governance;5,5;"78.0%
73/333
Finance";706;129;75;1,106;0,59;Springer Nature
IMF Economic Review;5,5;"89.0%
31/284
General Economics, Econometrics and Finance";602;110;71;2,194;2,079;Springer Nature
International Journal of Digital Accounting Research;5,5;"78.0%
71/333
Finance";143;26;65;0,599;0,376;Rutgers University
Business Strategy and Development;5,5;"88.0%
32/284
General Economics, Econometrics and Finance";1741;319;72;1,154;0,827;John Wiley & Sons
Journal of Teaching in Travel and Tourism;5,5;"84.0%
255/1620
Education";536;97;69;1,009;0,472;Taylor & Francis
Revista de Psicologia del Trabajo y de las Organizaciones;5,5;"76.0%
75/313
Social Psychology";371;68;79;1,021;0,757;Colegio Oficial de Psicologos de Madrid
Futures and Foresight Science;5,5;"80.0%
41/208
Business, Management and Accounting (miscellaneous)";302;55;69;1,717;0,776;John Wiley & Sons
Multinational Business Review;5,5;"71.0%
65/225
General Business, Management and Accounting";520;94;80;1,107;1,086;Emerald Publishing
Journal of Social Marketing;5,5;"67.0%
100/305
Management of Technology and Innovation";630;115;80;0,876;0,792;Emerald Publishing
Journal of Digital Economy;5,5;"90.0%
62/674
Social Sciences (miscellaneous)";281;51;75;1,174;0,854;KeAi Communications Co.
International Journal of Enterprise Information Systems;5,4;"72.0%
53/190
Information Systems and Management";157;29;93;0,668;0,276;IGI Global Publishing
Journal of Co-operative Organization and Management;5,4;"68.0%
143/451
Business and International Management";391;72;88;1,251;0,749;Elsevier
Leisure Sciences;5,4;"88.0%
172/1497
Sociology and Political Science";1064;196;87;1,285;0,608;Taylor & Francis
International Journal of Public Administration;5,4;"80.0%
48/242
Public Administration";1950;364;81;1,199;0,725;Taylor & Francis
Journal of Advances in Management Research;5,4;"70.0%
67/225
General Business, Management and Accounting";663;122;77;0,957;0,526;Emerald Publishing
Entrepreneurship Research Journal;5,4;"67.0%
146/451
Business and International Management";803;150;86;1,328;0,891;Walter de Gruyter
Journal of Political Marketing;5,4;"88.0%
177/1497
Sociology and Political Science";356;66;76;1,124;0,624;Taylor & Francis
Journal of Economic Inequality;5,4;"88.0%
33/284
General Economics, Econometrics and Finance";837;155;69;1,775;1,294;Springer Nature
Journal of Contextual Behavioral Science;5,4;"83.0%
62/376
Health (social science)";1916;352;70;1,217;1,319;Elsevier
Economics and Sociology;5,4;"90.0%
65/674
Social Sciences (miscellaneous)";1478;275;79;0,843;0,468;Centre of Sociological Research
Tourism and Management Studies;5,4;"97.0%
37/1371
Cultural Studies";439;81;79;1,193;0,541;University of Algarve
Journal of Entrepreneurship, Management and Innovation;5,4;"68.0%
142/451
Business and International Management";560;103;88;0,779;0,446;Cognitione Foundation for the Dissemination of Knowledge and Science
Baltic Journal of Management;5,4;"68.0%
74/234
Organizational Behavior and Human Resource Management";923;170;76;0,92;0,752;Emerald Publishing
Australasian Journal of Information Systems;5,4;"79.0%
44/208
Business, Management and Accounting (miscellaneous)";503;94;72;0,766;0,796;Australasian Association for Information Systems
Journal of Management Education;5,3;"83.0%
267/1620
Education";662;125;82;1,532;0,765;SAGE
Journal of White Collar and Corporate Crime;5,3;"94.0%
61/1105
Law";147;28;79;1,285;0,418;SAGE
Administrative Theory and Praxis;5,3;"87.0%
188/1497
Sociology and Political Science";474;90;87;0,971;0,621;Taylor & Francis
New England Journal of Entrepreneurship;5,3;"79.0%
49/242
Public Administration";176;33;97;0,919;0,437;Emerald Publishing
Gender in Management;5,3;"91.0%
20/227
Gender Studies";1231;233;88;1,309;0,844;Emerald Publishing
Voluntas;5,3;"87.0%
184/1497
Sociology and Political Science";2042;385;77;1,488;0,878;Springer Nature
International Journal of Market Research;5,3;"77.0%
164/731
Economics and Econometrics";903;169;77;1,111;0,88;Market Research Society
Consumer Behavior in Tourism and Hospitality;5,3;"80.0%
164/841
Geography, Planning and Development";893;170;78;0,946;0,683;Emerald Publishing
Digital Policy, Regulation and Governance;5,3;"71.0%
55/190
Information Systems and Management";716;136;79;0,931;0,528;Emerald Publishing
Journal of Tourism, Heritage and Services Marketing;5,3;"80.0%
162/841
Geography, Planning and Development";253;48;67;0,889;0,395;International Hellenic University
Health Care Management Review;5,2;"86.0%
6/41
Leadership and Management";824;158;79;1,193;1,128;Wolters Kluwer Health
European Financial Management;5,2;"86.0%
40/284
General Economics, Econometrics and Finance";1041;202;70;1,529;1,136;John Wiley & Sons
Information and Computer Security;5,2;"70.0%
56/190
Information Systems and Management";709;137;82;1,063;0,485;Emerald Publishing
International Journal of Energy Sector Management;5,2;"65.0%
172/496
Strategy and Management";1505;288;81;0,907;0,57;Emerald Publishing
Leisure Studies;5,2;"79.0%
171/841
Geography, Planning and Development";1186;230;85;1,533;0,79;Taylor & Francis
Knowledge Management and E-Learning;5,2;"82.0%
277/1620
Education";691;133;71;1,219;0,66;University of Hong Kong
Public Money and Management;5,2;"87.0%
193/1497
Sociology and Political Science";2014;385;90;1,043;0,642;Taylor & Francis
Intereconomics;5,2;"82.0%
45/260
Economics, Econometrics and Finance (miscellaneous)";972;187;71;1,102;0,604;Walter de Gruyter
Managerial Auditing Journal;5,2;"86.0%
39/284
General Economics, Econometrics and Finance";828;160;82;1,213;0,605;Emerald Publishing
Qualitative Research in Organizations and Management;5,2;"87.0%
37/284
General Economics, Econometrics and Finance";523;100;76;1,063;0,675;Emerald Publishing
Journal of Global Scholars of Marketing Science: Bridging Asia and the World;5,1;"90.0%
63/630
Arts and Humanities (miscellaneous)";694;135;78;0,714;0,54;Taylor & Francis
Qualitative Research in Accounting and Management;5,1;"74.0%
47/182
Accounting";525;102;83;1,094;0,814;Emerald Publishing
Review of Behavioral Finance;5,1;"77.0%
77/333
Finance";882;174;68;1,121;0,467;Emerald Publishing
International Journal of Educational Management;5,1;"82.0%
286/1620
Education";1918;375;75;1,257;0,68;Emerald Publishing
Journal of Communication Management;5,1;"86.0%
73/535
Communication";582;114;75;1,37;0,676;Emerald Publishing
Journal of the Association for Consumer Research;5,1;"75.0%
178/731
Economics and Econometrics";815;161;94;0,732;1,691;University of Chicago Press
Asia Pacific Business Review;5,1;"66.0%
153/451
Business and International Management";870;171;86;0,819;0,558;Taylor & Francis
Management in Education;5,1;"82.0%
284/1620
Education";380;74;77;1,058;0,475;SAGE
Public Performance and Management Review;5,1;"77.0%
56/242
Public Administration";1128;221;82;1,339;0,969;Taylor & Francis
Engineering Economics;5,1;"77.0%
61/264
Engineering (miscellaneous)";804;158;78;0,552;0,433;Kauno Technologijos Universitetas
Geneva Papers on Risk and Insurance: Issues and Practice;5,1;"77.0%
76/333
Finance";648;126;75;1,232;0,597;Springer Nature
Journal of Policy Analysis and Management;5;"85.0%
215/1497
Sociology and Political Science";926;186;67;1,562;2,398;John Wiley & Sons
Journal of Management Control;5;"71.0%
52/182
Accounting";332;66;73;1,024;0,777;Physica-Verlag
Journal of Business Finance and Accounting;5;"76.0%
49/208
Business, Management and Accounting (miscellaneous)";1314;261;74;1,832;1,263;John Wiley & Sons
Management and Organization Review;5;"65.0%
156/451
Business and International Management";851;171;71;1,001;0,925;Cambridge University Press
Journal of Conflict Resolution;5;"90.0%
71/738
Political Science and International Relations";1417;281;82;2,133;2,138;SAGE
International Public Management Journal;5;"75.0%
59/242
Public Administration";903;180;83;1,564;1,174;Taylor & Francis
Journal of Quality in Maintenance Engineering;5;"73.0%
63/235
Safety, Risk, Reliability and Quality";718;145;80;1,108;0,567;Emerald Publishing
Corporate Communications;5;"76.0%
15/61
Industrial Relations";1038;207;77;1,122;0,715;Emerald Publishing
International Journal of Sports Marketing and Sponsorship;5;"75.0%
81/333
Finance";1011;201;78;1,181;0,757;Emerald Publishing
Journal of Sport and Tourism;5;"57.0%
64/151
Tourism, Leisure and Hospitality Management";345;69;74;1,292;0,613;Taylor & Francis
Action Research;5;"85.0%
218/1497
Sociology and Political Science";491;99;95;1,698;0,711;SAGE
Economic and Industrial Democracy;5;"67.0%
74/225
General Business, Management and Accounting";1258;250;85;1,606;1,106;SAGE
Pacific Asia Journal of the Association for Information Systems;5;"70.0%
57/190
Information Systems and Management";416;83;71;0,775;0,512;Association for Information Systems
International Journal of Intercultural Relations;5;"85.0%
216/1497
Sociology and Political Science";2557;515;73;1,51;1,047;Elsevier
Journal of Contemporary Accounting and Economics;5;"70.0%
54/182
Accounting";545;109;75;1,165;0,729;Elsevier
Risks;5;"82.0%
46/260
Economics, Econometrics and Finance (miscellaneous)";4399;876;71;0,966;0,397;Multidisciplinary Digital Publishing Institute (MDPI)
Journal of Risk and Financial Management;5;"77.0%
48/208
Business, Management and Accounting (miscellaneous)";11671;2312;71;0,906;0,48;Multidisciplinary Digital Publishing Institute (MDPI)
Journal of Industrial Engineering and Management;5;"71.0%
115/402
Industrial and Manufacturing Engineering";770;155;73;0,875;0,481;OmniaScience
Journal of Industrial Relations;4,9;"74.0%
16/61
Industrial Relations";668;137;68;1,565;0,946;SAGE
Public Relations Inquiry;4,9;"94.0%
67/1212
Linguistics and Language";328;67;82;1,223;0,561;SAGE
Journal of Leisure Research;4,9;"85.0%
221/1497
Sociology and Political Science";616;126;87;1,277;0,754;Taylor & Francis
International Journal of Conflict Management;4,9;"84.0%
81/535
Communication";803;165;77;1,13;0,876;Emerald Publishing
Worldwide Hospitality and Tourism Themes;4,9;"79.0%
64/309
Development";1278;263;76;0,733;0,438;Emerald Publishing
Review of Corporate Finance Studies;4,9;"74.0%
85/333
Finance";440;90;76;1,598;4,122;Oxford University Press
IEEE Engineering Management Review;4,9;"69.0%
300/970
Electrical and Electronic Engineering";1392;284;75;0,852;0,473;IEEE
Consumption Markets and Culture;4,9;"95.0%
25/524
Anthropology";608;123;79;1,003;0,898;Taylor & Francis
Leadership;4,9;"84.0%
225/1497
Sociology and Political Science";619;127;79;1,431;0,953;SAGE
World Bank Economic Review;4,9;"79.0%
63/309
Development";786;161;73;1,671;2,11;Oxford University Press
Cogent Business and Management;4,9;"76.0%
50/208
Business, Management and Accounting (miscellaneous)";10257;2075;71;1,162;0,596;Cogent OA
Review of Accounting and Finance;4,9;"74.0%
84/333
Finance";461;94;80;0,562;0,513;Emerald Publishing
Transnational Corporations Review;4,8;"78.0%
68/309
Development";644;135;74;0,846;0,435;Elsevier
Accounting Research Journal;4,8;"73.0%
88/333
Finance";655;137;72;0,957;0,469;Emerald Publishing
Journal of Indian Business Research;4,8;"66.0%
76/225
General Business, Management and Accounting";408;85;65;0,873;0,553;Emerald Publishing
Asian Journal of Technology Innovation;4,8;"73.0%
192/731
Economics and Econometrics";531;111;77;1,275;0,663;Taylor & Francis
Thunderbird International Business Review;4,8;"89.0%
76/738
Political Science and International Relations";792;165;80;0,69;0,562;John Wiley & Sons
International Labour Review;4,8;"63.0%
85/234
Organizational Behavior and Human Resource Management";580;120;68;1,189;0,728;John Wiley & Sons
IMA Journal of Management Mathematics;4,8;"92.0%
30/414
General Mathematics";545;113;76;1,271;0,622;Oxford University Press
Innovation: The European Journal of Social Science Research;4,8;"96.0%
45/1371
Cultural Studies";847;177;81;1,038;0,577;Taylor & Francis
International Journal of Business Intelligence Research;4,8;"82.0%
31/175
Statistics, Probability and Uncertainty";81;17;76;0,645;0,352;IGI Global Publishing
Cuadernos de Gestion;4,8;"80.0%
50/260
Economics, Econometrics and Finance (miscellaneous)";344;72;78;0,804;0,419;Institute of Applied Business Economics
Journal of Information Systems;4,7;"68.0%
60/190
Information Systems and Management";491;105;76;0,901;0,733;American Accounting Association
American Review of Public Administration;4,7;"84.0%
238/1497
Sociology and Political Science";683;145;69;1,25;1,101;SAGE
EURO Journal on Decision Processes;4,7;"86.0%
40/293
Statistics and Probability";178;38;74;0,884;0,595;Elsevier
Journal of China Tourism Research;4,7;"96.0%
46/1371
Cultural Studies";812;174;79;0,913;0,558;Taylor & Francis
International Journal of Sport Policy and Politics;4,7;"88.0%
80/674
Social Sciences (miscellaneous)";776;165;76;1,523;0,941;Taylor & Francis
Small Enterprise Research;4,7;"80.0%
52/260
Economics, Econometrics and Finance (miscellaneous)";315;67;78;0,675;0,62;Taylor & Francis
Social Enterprise Journal;4,7;"83.0%
245/1497
Sociology and Political Science";584;125;74;1,105;0,732;Emerald Publishing
Data Base for Advances in Information Systems;4,7;"64.0%
181/507
Computer Networks and Communications";462;98;62;1,138;0,872;Association for Computing Machinery
International Journal of System Assurance Engineering and Management;4,7;"70.0%
70/235
Safety, Risk, Reliability and Quality";5392;1140;71;0,776;0,377;Springer Nature
Journal of Emerging Technologies in Accounting;4,6;"67.0%
60/182
Accounting";491;106;80;0,75;0,642;American Accounting Association
Journal of Multi-Criteria Decision Analysis;4,6;"60.0%
195/496
Strategy and Management";398;86;73;1,02;0,581;John Wiley & Sons
International Journal of Selection and Assessment;4,6;"69.0%
68/218
General Psychology";691;151;79;1,217;1,34;John Wiley & Sons
Industrial and Commercial Training;4,6;"79.0%
330/1620
Education";529;114;77;1,383;0,575;Emerald Publishing
Learning Organization;4,6;"79.0%
334/1620
Education";762;166;89;1,114;0,462;Emerald Publishing
Journal of Civil Engineering Education;4,6;"71.0%
18/61
Industrial Relations";391;85;76;1,414;0,646;American Society of Civil Engineers
Social and Environmental Accountability Journal;4,6;"66.0%
61/182
Accounting";202;44;86;0,5;0,448;Taylor & Francis
Journal of Management Development;4,6;"73.0%
56/208
Business, Management and Accounting (miscellaneous)";637;140;69;1,163;0,674;Emerald Publishing
Qubahan Academic Journal;4,6;"79.0%
337/1620
Education";1158;254;43;1,41;0,514;Qubahan
Journal of Data, Information and Management;4,6;"73.0%
55/208
Business, Management and Accounting (miscellaneous)";443;97;70;0,782;0,419;Springer Nature
She Ji;4,6;"98.0%
11/676
Visual Arts and Performing Arts";398;87;70;1,613;0,681;Tongji University Press
International Journal of e-Business Research;4,5;"61.0%
369/947
Computer Science Applications";275;61;77;0,825;0,394;IGI Global Publishing
Accounting Horizons;4,5;"66.0%
62/182
Accounting";712;157;76;1,49;1,333;American Accounting Association
Auditing;4,5;"71.0%
210/731
Economics and Econometrics";564;125;77;2,088;2,08;American Accounting Association
Journal of Forecasting;4,5;"82.0%
32/175
Statistics, Probability and Uncertainty";2010;443;66;1,094;0,701;John Wiley & Sons
British Journal of Industrial Relations;4,5;"64.0%
80/225
General Business, Management and Accounting";640;142;76;1,407;1,375;John Wiley & Sons
Journal of Risk and Insurance;4,5;"71.0%
211/731
Economics and Econometrics";594;132;86;1,68;1,31;John Wiley & Sons
American Journal of Evaluation;4,5;"82.0%
257/1497
Sociology and Political Science";601;134;81;1,511;0,817;SAGE
EMJ - Engineering Management Journal;4,5;"73.0%
90/344
General Engineering";517;114;78;0,928;0,479;Taylor & Francis
Critical Perspectives on International Business;4,5;"72.0%
57/208
Business, Management and Accounting (miscellaneous)";485;107;74;1,066;0,722;Emerald Publishing
Chinese Management Studies;4,5;"63.0%
82/225
General Business, Management and Accounting";1137;255;80;0,815;0,643;Emerald Publishing
Maritime Business Review;4,5;"62.0%
169/451
Business and International Management";351;78;83;0,851;0,587;Emerald Publishing
Revista de Gestao;4,5;"62.0%
168/451
Business and International Management";439;97;76;0,742;0,54;Emerald Publishing
Journal of Research in Marketing and Entrepreneurship;4,5;"62.0%
171/451
Business and International Management";385;86;81;0,842;0,548;Emerald Publishing
School Leadership and Management;4,5;"87.0%
79/630
Arts and Humanities (miscellaneous)";473;104;80;1,454;0,876;Brill
Corporate Reputation Review;4,5;"63.0%
167/451
Business and International Management";349;77;78;1,058;0,641;Springer Nature
Journal of Trust Research;4,5;"82.0%
262/1497
Sociology and Political Science";156;35;94;1,641;0,84;Taylor & Francis
Australasian Accounting, Business and Finance Journal;4,5;"71.0%
97/333
Finance";901;200;89;0,72;0,417;University of Wollongong
European Business Organization Law Review;4,5;"92.0%
84/1105
Law";531;117;60;1,658;0,867;Springer Nature
Team Performance Management;4,5;"60.0%
121/305
Management of Technology and Innovation";374;84;83;1,112;0,557;Emerald Publishing
Mathematical Finance;4,4;"85.0%
95/674
Social Sciences (miscellaneous)";592;136;77;1,758;1,327;John Wiley & Sons
Business and Human Rights Journal;4,4;"91.0%
91/1105
Law";634;143;69;1,221;0,79;Cambridge University Press
Journal of Economic Behavior and Organization;4,4;"70.0%
214/731
Economics and Econometrics";7297;1655;70;1,306;1,437;Elsevier
Human Performance;4,4;"68.0%
70/218
General Psychology";240;54;69;0,888;0,96;Taylor & Francis
International Journal of Heritage Studies;4,4;"99.0%
16/1850
History";1430;326;71;1,846;0,802;Taylor & Francis
Journal of Managerial Psychology;4,4;"66.0%
105/313
Social Psychology";773;177;75;0,971;1,135;Emerald Publishing
Cross Cultural and Strategic Management;4,4;"96.0%
53/1371
Cultural Studies";546;124;76;0,87;0,707;Emerald Publishing
Sport, Business and Management: An International Journal;4,4;"61.0%
174/451
Business and International Management";345;79;76;0,828;0,576;Emerald Publishing
Triple Helix;4,4;"78.0%
57/260
Economics, Econometrics and Finance (miscellaneous)";229;52;71;0,834;0,404;Brill
Place Branding and Public Diplomacy;4,4;"58.0%
206/496
Strategy and Management";744;171;74;1,463;0,617;Springer Nature
Journal of Real Estate Finance and Economics;4,4;"78.0%
61/288
Urban Studies";871;196;79;1,171;0,729;Springer Nature
Journal of Accounting and Public Policy;4,4;"82.0%
266/1497
Sociology and Political Science";1059;240;66;1,604;1,081;Elsevier
