Source title;CiteScore;Highest percentile;2021-24 Citations;2021-24 Documents;% Cited;SNIP;SJR;Publisher
Strategic Management Journal;16,8;"96.0%
20/496
Strategy and Management";6455;384;87;3,839;10,176;John Wiley & Sons
Journal of Business Venturing;16,6;"95.0%
20/451
Business and International Management";3445;207;96;3,404;6,234;Elsevier
Journal of Family Business Strategy;16,6;"97.0%
16/731
Economics and Econometrics";1909;115;90;2,823;3,053;Elsevier
Management Review Quarterly;16,6;"98.0%
3/208
Business, Management and Accounting (miscellaneous)";2987;180;91;3,27;1,83;Springer Nature
International Journal of Logistics Research and Applications;16,5;"96.0%
8/218
Management Science and Operations Research";4780;289;94;2,017;1,452;Taylor & Francis
Small Business Economics;16,5;"98.0%
5/225
General Business, Management and Accounting";10654;646;91;2,942;3,025;Springer Nature
Review of Managerial Science;16,3;"97.0%
6/225
General Business, Management and Accounting";6100;375;92;2,801;2,316;Springer Nature
IEEE Communications Standards Magazine;16,2;"99.0%
4/1105
Law";2940;182;88;2,254;2,174;IEEE
Annals of Tourism Research;16,2;"99.0%
2/309
Development";9160;567;87;2,364;2,461;Elsevier
Business and Society;16;"99.0%
5/674
Social Sciences (miscellaneous)";3208;201;93;3,085;3,113;SAGE
BenchCouncil Transactions on Benchmarks, Standards and Evaluations;16;"97.0%
4/160
Computer Science (miscellaneous)";1072;67;72;3,148;1,531;KeAi Communications Co.
Psychology and Marketing;15,9;"96.0%
10/256
Applied Psychology";10224;642;82;2,482;3,497;John Wiley & Sons
Virtual Economics;15,8;"99.0%
1/1371
Cultural Studies";1262;80;75;1,271;1,618;The London Academy of Science and Business
Oeconomia Copernicana;15,8;"99.0%
1/1850
History";2295;145;90;1,736;1,271;Institute of Economic Research
Global Strategy Journal;15,7;"95.0%
25/496
Strategy and Management";1753;112;89;2,426;3,471;John Wiley & Sons
Current Issues in Tourism;15,5;"98.0%
12/841
Geography, Planning and Development";13786;887;92;2,233;1,703;Taylor & Francis
Review of Financial Studies;15,5;"99.0%
2/182
Accounting";7651;495;88;4,522;16,546;Oxford University Press
Business Horizons;15,4;"94.0%
26/451
Business and International Management";3456;224;88;2,558;2,28;Elsevier
International Organization;15,3;"99.0%
2/738
Political Science and International Relations";1945;127;82;4,752;4,977;Cambridge University Press
Journal of Tourism Futures;15,3;"98.0%
14/841
Geography, Planning and Development";1619;106;94;1,816;1,308;Emerald Publishing
Industrial Marketing Management;15,2;"90.0%
20/215
Marketing";11029;724;89;1,965;2,621;Elsevier
Journal of Advertising;15;"99.0%
4/535
Communication";2432;162;93;2,895;4,455;Taylor & Francis
Knowledge-Based Systems;15;"95.0%
10/190
Information Systems and Management";65757;4394;85;2,344;1,934;Elsevier
Research Policy;15;"95.0%
10/218
Management Science and Operations Research";9654;643;91;3,204;3,443;Elsevier
Transportation Research Part E: Logistics and Transportation Review;15;"97.0%
10/407
Civil and Structural Engineering";17839;1188;86;2,367;2,513;Elsevier
Omega (United Kingdom);14,9;"95.0%
11/218
Management Science and Operations Research";9678;648;90;2,197;2,308;Elsevier
Tourism Management Perspectives;14,9;"91.0%
13/151
Tourism, Leisure and Hospitality Management";6440;431;86;2,184;1,87;Elsevier
Journal of Hospitality and Tourism Management;14,9;"91.0%
14/151
Tourism, Leisure and Hospitality Management";10272;691;88;2,211;2,158;Elsevier
Supply Chain Management;14,9;"94.0%
28/496
Strategy and Management";3241;218;86;2,199;2,117;Emerald Publishing
International Journal of Logistics Management;14,8;"93.0%
29/451
Business and International Management";4024;272;93;1,876;1,792;Emerald Publishing
Corporate Social Responsibility and Environmental Management;14,7;"98.0%
5/309
Development";12692;865;85;2,541;2,294;John Wiley & Sons
International Journal of Operations and Production Management;14,7;"94.0%
29/496
Strategy and Management";5206;353;92;2,219;2,876;Emerald Publishing
European Research on Management and Business Economics;14,7;"97.0%
20/731
Economics and Econometrics";1693;115;84;2,583;1,473;European Academy of Management and Business Economics
International Journal of Advertising;14,6;"99.0%
5/535
Communication";3332;228;92;2,574;2,914;Taylor & Francis
MIS Quarterly: Management Information Systems;14,5;"94.0%
54/947
Computer Science Applications";3864;267;81;2,648;4,486;Management Information Systems Research Center
Journal of Sustainable Finance and Investment;14,4;"98.0%
5/260
Economics, Econometrics and Finance (miscellaneous)";3019;209;93;1,518;1,146;Taylor & Francis
Journal of Manufacturing Technology Management;14,4;"94.0%
20/375
Control and Systems Engineering";4252;296;84;2,047;1,532;Emerald Publishing
Journal of Business Ethics;14,4;"99.0%
6/1105
Law";18553;1292;92;3,01;3,039;Springer Nature
California Management Review;14,4;"93.0%
32/496
Strategy and Management";1325;92;93;N/A;2,416;Haas School of Business
International Journal of Project Management;14,2;"93.0%
20/305
Management of Technology and Innovation";3751;265;91;2,675;1,87;Elsevier
Journal of Corporate Finance;14,2;"97.0%
8/333
Finance";9609;678;84;3,332;3,246;Elsevier
Human Resource Management;14,1;"97.0%
7/234
Organizational Behavior and Human Resource Management";2697;191;85;2,788;3,663;John Wiley & Sons
International Journal of Physical Distribution and Logistics Management;14,1;"92.0%
22/305
Management of Technology and Innovation";2501;178;91;1,66;1,821;Emerald Publishing
Journal of Small Business Management;14;"96.0%
8/225
General Business, Management and Accounting";4102;292;96;2,384;2,149;Taylor & Francis
Human Relations;14;"99.0%
5/630
Arts and Humanities (miscellaneous)";3994;285;96;3,347;4,148;SAGE
European Management Journal;14;"92.0%
38/496
Strategy and Management";4340;311;93;2,458;1,913;Elsevier
Journal of Intellectual Capital;13,9;"98.0%
23/1620
Education";3100;223;85;2,24;1,526;Emerald Publishing
Strategic Organization;13,8;"99.0%
1/61
Industrial Relations";1933;140;96;2,916;5,21;SAGE
Journal of Travel and Tourism Marketing;13,8;"90.0%
15/151
Tourism, Leisure and Hospitality Management";3077;223;87;2,131;2,299;Taylor & Francis
International Journal of Research in Marketing;13,7;"88.0%
25/215
Marketing";2936;214;90;2,467;3,869;Elsevier
International Journal of Management Education;13,7;"98.0%
26/1620
Education";7430;543;85;2,296;1,741;Elsevier
Human Resource Management Journal;13,7;"96.0%
8/234
Organizational Behavior and Human Resource Management";3021;220;91;2,772;3,027;John Wiley & Sons
Journal of Operations Management;13,6;"94.0%
12/218
Management Science and Operations Research";2275;167;91;2,692;4,52;John Wiley & Sons
Decision Support Systems;13,5;"99.0%
6/630
Arts and Humanities (miscellaneous)";6646;491;86;2,592;2,366;Elsevier
Journal of Knowledge Management;13,5;"91.0%
25/305
Management of Technology and Innovation";6543;485;90;2,354;1,946;Emerald Publishing
Journal of Consumer Research;13,4;"99.0%
1/524
Anthropology";3232;241;91;3,324;8,562;Oxford University Press
International Journal of Human Resource Management;13,3;"96.0%
9/234
Organizational Behavior and Human Resource Management";7356;554;87;2,33;2,231;Taylor & Francis
Long Range Planning;13,3;"97.0%
9/333
Finance";2904;219;87;2,472;2,909;Elsevier
Australasian Marketing Journal;13,1;"95.0%
30/731
Economics and Econometrics";1711;131;93;1,377;1,403;SAGE
Family Business Review;13;"97.0%
5/208
Business, Management and Accounting (miscellaneous)";807;62;85;2,997;2,718;SAGE
Information Technology and Tourism;13;"92.0%
70/947
Computer Science Applications";1198;92;86;1,912;1,604;Springer Nature
Cleaner Logistics and Supply Chain;13;"95.0%
13/271
Environmental Science (miscellaneous)";2409;185;83;1,943;1,528;Elsevier
Organization Theory;12,9;"95.0%
10/234
Organizational Behavior and Human Resource Management";1236;96;82;3,412;6,872;SAGE
Financial Innovation;12,9;"96.0%
11/333
Finance";5458;423;83;2,228;1,287;Springer Nature
Global Journal of Flexible Systems Management;12,8;"97.0%
6/208
Business, Management and Accounting (miscellaneous)";2055;161;82;1,928;1,148;Global Institute of Flexible Systems Management
R and D Management;12,7;"95.0%
10/225
General Business, Management and Accounting";2508;198;90;1,993;1,778;John Wiley & Sons
Journal of Finance;12,6;"98.0%
3/182
Accounting";3886;309;84;5,507;22,836;John Wiley & Sons
International Journal of Precision Engineering and Manufacturing - Green Technology;12,6;"95.0%
32/720
Mechanical Engineering";5354;424;92;1,872;1,072;Springer Nature
Journal of International Financial Management and Accounting;12,5;"98.0%
4/182
Accounting";989;79;81;2,279;2;John Wiley & Sons
International Journal of Bank Marketing;12,5;"87.0%
28/215
Marketing";3578;286;86;1,853;1,439;Emerald Publishing
Organization Studies;12,5;"95.0%
11/234
Organizational Behavior and Human Resource Management";3821;305;88;2,876;5,032;SAGE
Journal of Global Operations and Strategic Sourcing;12,5;"95.0%
12/234
Organizational Behavior and Human Resource Management";1365;109;86;1,346;0,921;Emerald Publishing
Digital Business;12,4;"96.0%
8/208
Business, Management and Accounting (miscellaneous)";1064;86;86;2,129;1,328;Elsevier
Internet of Things (The Netherlands);12,4;"94.0%
15/264
Engineering (miscellaneous)";12443;1005;84;2,187;1,527;Elsevier
European Journal of Innovation Management;12,3;"89.0%
34/305
Management of Technology and Innovation";4685;382;94;2,011;1,397;Emerald Publishing
Journal of Management in Engineering;12,3;"97.0%
2/61
Industrial Relations";4917;401;89;1,979;1,619;American Society of Civil Engineers
Journal of Purchasing and Supply Management;12,3;"90.0%
50/496
Strategy and Management";1453;118;92;2,149;2,084;Elsevier
Operations Management Research;12,3;"92.0%
16/218
Management Science and Operations Research";3408;277;86;1,534;1,424;Springer Nature
Gender, Work and Organization;12,2;"99.0%
2/227
Gender Studies";6636;542;88;2,347;2,539;John Wiley & Sons
Journal of Internet Commerce;12,2;"91.0%
17/186
Human-Computer Interaction";974;80;83;1,491;1,154;Taylor & Francis
Tourism Recreation Research;12,1;"99.0%
3/1371
Cultural Studies";3312;273;94;1,661;1,036;Taylor & Francis
ACM Transactions on Information Systems;12,1;"95.0%
11/225
General Business, Management and Accounting";5343;441;84;2,779;1,54;Association for Computing Machinery
Journal of Organizational Behavior;12;"98.0%
22/1497
Sociology and Political Science";3508;293;87;2,765;3,862;John Wiley & Sons
Public Administration Review;11,9;"98.0%
4/242
Public Administration";4250;356;91;2,943;2,964;John Wiley & Sons
Telecommunications Policy;11,9;"97.0%
8/287
Library and Information Sciences";4782;403;85;2,201;1,728;Elsevier
Data Science and Management;11,9;"91.0%
19/218
Management Science and Operations Research";1165;98;86;1,794;1,37;KeAi Communications Co.
Spanish Journal of Marketing - ESIC;11,7;"85.0%
31/215
Marketing";924;79;91;1,833;1,11;Emerald Publishing
Journal of Theoretical and Applied Electronic Commerce Research;11,7;"94.0%
12/225
General Business, Management and Accounting";6508;556;76;1,574;0,952;Multidisciplinary Digital Publishing Institute (MDPI)
Information Systems Research;11,7;"96.0%
10/287
Library and Information Sciences";3912;333;88;2,575;4,85;INFORMS Inst.for Operations Res.and the Management Sciences
Journal of International Business Policy;11,6;"91.0%
41/451
Business and International Management";891;77;92;1,621;1,5;Springer Nature
Journal of Information Technology;11,6;"95.0%
12/287
Library and Information Sciences";1128;97;86;2,147;2,192;Springer Nature
Journal of Vacation Marketing;11,6;"88.0%
18/151
Tourism, Leisure and Hospitality Management";1721;149;95;1,631;1,299;SAGE
Personnel Psychology;11,6;"93.0%
15/234
Organizational Behavior and Human Resource Management";1559;134;95;3,583;5,414;John Wiley & Sons
International Business Review;11,6;"95.0%
14/333
Finance";3985;344;88;2,032;2,104;Elsevier
Information and Organization;11,6;"95.0%
13/287
Library and Information Sciences";891;77;79;1,831;1,803;Elsevier
Journal of Marketing Theory and Practice;11,5;"84.0%
33/215
Marketing";1470;128;86;1,94;1,645;Taylor & Francis
Benchmarking;11,5;"90.0%
42/451
Business and International Management";6372;552;91;1,575;1,102;Emerald Publishing
Organization and Environment;11,4;"92.0%
17/234
Organizational Behavior and Human Resource Management";1097;96;92;1,427;1,696;SAGE
Organizational Psychology Review;11,4;"96.0%
11/313
Social Psychology";822;72;83;3,372;3,434;SAGE
Asia Pacific Management Review;11,4;"90.0%
44/451
Business and International Management";1676;147;86;2,331;1,187;National Cheng Kung University
Global Business and Organizational Excellence;11,4;"92.0%
19/234
Organizational Behavior and Human Resource Management";1438;126;89;1,824;1,432;John Wiley & Sons
Journal of Management Information Systems;11,3;"90.0%
21/218
Management Science and Operations Research";1891;167;81;2,085;3,652;Taylor & Francis
Sustainability Accounting, Management and Policy Journal;11,3;"97.0%
5/182
Accounting";2382;210;90;1,969;1,449;Emerald Publishing
BRQ Business Research Quarterly;11,3;"94.0%
42/731
Economics and Econometrics";825;73;93;1,985;1,49;Elsevier
Big Data Research;11,3;"89.0%
20/190
Information Systems and Management";2309;205;84;1,649;0,914;Elsevier
Transportation Research Part A: Policy and Practice;11,3;"95.0%
9/208
Business, Management and Accounting (miscellaneous)";11780;1045;84;2,148;2,124;Elsevier
New Technology, Work and Employment;11,2;"92.0%
4/49
Human Factors and Ergonomics";994;89;91;2,713;2,795;John Wiley & Sons
Research in International Business and Finance;11,1;"95.0%
10/208
Business, Management and Accounting (miscellaneous)";11591;1047;85;1,869;1,415;Elsevier
Journal of Manufacturing Processes;11,1;"89.0%
23/218
Management Science and Operations Research";40461;3648;85;2,032;1,556;Elsevier
Review of Finance;11;"96.0%
6/182
Accounting";2339;213;77;3,937;8,22;Oxford University Press
Journal of Hospitality and Tourism Research;10,9;"97.0%
49/1620
Education";3119;286;93;1,94;1,428;SAGE
Electronic Commerce Research and Applications;10,9;"90.0%
47/507
Computer Networks and Communications";4105;375;81;1,701;1,411;Elsevier
International Journal of Construction Management;10,9;"98.0%
3/203
Architecture";8268;759;92;2,13;1,015;Taylor & Francis
Asia Pacific Journal of Management;10,9;"97.0%
7/260
Economics, Econometrics and Finance (miscellaneous)";2659;243;91;1,818;1,47;Springer Nature
Cities;10,9;"97.0%
32/1497
Sociology and Political Science";23064;2125;83;2,065;1,839;Elsevier
Journal of Management Science and Engineering;10,9;"92.0%
19/264
Engineering (miscellaneous)";1419;130;80;1,701;1,098;KeAi Communications Co.
British Journal of Management;10,8;"93.0%
15/225
General Business, Management and Accounting";4159;384;91;2,044;2,267;John Wiley & Sons
Educational Management Administration and Leadership;10,8;"96.0%
52/1620
Education";2625;244;94;2,965;1,711;SAGE
Journal of Vocational Behavior;10,8;"96.0%
54/1620
Education";3096;288;89;2,409;2,793;Elsevier
Journal of Public Administration Research and Theory;10,7;"97.0%
33/1497
Sociology and Political Science";1953;182;90;3,142;3,454;Oxford University Press
International Entrepreneurship and Management Journal;10,7;"86.0%
43/305
Management of Technology and Innovation";3665;343;84;1,866;1,352;Springer Nature
Journal of Technology Transfer;10,6;"96.0%
7/182
Accounting";3343;314;89;2,262;1,709;Springer Nature
Journal of Hospitality, Leisure, Sport and Tourism Education;10,6;"96.0%
55/1620
Education";1913;181;86;1,894;0,982;Elsevier
Journal of Small Business and Entrepreneurship;10,6;"89.0%
49/451
Business and International Management";1371;129;86;2,098;1,117;Taylor & Francis
International Journal of Accounting Information Systems;10,6;"95.0%
8/182
Accounting";1043;98;81;2,477;1,367;Elsevier
Critical Perspectives on Accounting;10,6;"97.0%
35/1497
Sociology and Political Science";2655;250;89;2,714;2,426;Elsevier
Organization Science;10,6;"91.0%
21/234
Organizational Behavior and Human Resource Management";4057;382;88;2,51;8,026;INFORMS Inst.for Operations Res.and the Management Sciences
EuroMed Journal of Business;10,5;"93.0%
22/333
Finance";1592;152;88;1,885;1,078;Emerald Publishing
Journal of Marketing Research;10,5;"93.0%
49/731
Economics and Econometrics";2518;240;91;2,42;6,961;American Marketing Association
Journal of Consumer Psychology;10,5;"91.0%
23/256
Applied Psychology";2121;202;91;2,329;4,547;John Wiley & Sons
Strategic Change;10,5;"93.0%
21/333
Finance";1662;158;80;1,465;1,253;John Wiley & Sons
Accounting, Auditing and Accountability Journal;10,4;"96.0%
9/260
Economics, Econometrics and Finance (miscellaneous)";3618;347;90;2,088;1,688;Emerald Publishing
International Journal of Retail and Distribution Management;10,4;"85.0%
22/151
Tourism, Leisure and Hospitality Management";3412;328;85;1,465;1,332;Emerald Publishing
Journal of Product and Brand Management;10,4;"86.0%
66/496
Strategy and Management";2893;277;83;1,666;1,886;Emerald Publishing
Production and Operations Management;10,3;"88.0%
25/218
Management Science and Operations Research";8541;831;82;1,908;3,364;SAGE
Journal of Hospitality and Tourism Technology;10,3;"88.0%
114/947
Computer Science Applications";2010;196;93;1,469;1,476;Emerald Publishing
TQM Journal;10,3;"91.0%
19/225
General Business, Management and Accounting";4593;447;90;1,633;0,87;Emerald Publishing
International Journal of Productivity and Performance Management;10,3;"92.0%
18/225
General Business, Management and Accounting";5511;536;88;1,63;0,954;Emerald Publishing
Tourism Geographies;10,3;"95.0%
37/841
Geography, Planning and Development";2544;246;87;2,036;1,356;Taylor & Francis
International Small Business Journal;10,3;"88.0%
51/451
Business and International Management";1504;146;84;1,924;1,956;SAGE
Review of Corporate Finance;10,3;"95.0%
11/260
Economics, Econometrics and Finance (miscellaneous)";596;58;91;2,123;1,673;Now Publishers Inc
Journal of Strategic Marketing;10,3;"86.0%
67/496
Strategy and Management";2244;218;87;1,363;1,176;Taylor & Francis
Socio-Economic Planning Sciences;10,3;"98.0%
4/175
Statistics, Probability and Uncertainty";9855;958;81;1,62;1,326;Elsevier
Review of Public Personnel Administration;10,2;"96.0%
8/242
Public Administration";1285;126;91;2,361;1,666;SAGE
Corporate Governance (Bingley);10,2;"94.0%
11/208
Business, Management and Accounting (miscellaneous)";3061;300;84;1,765;1,036;Emerald Publishing
Human Resource Development Quarterly;10,2;"98.0%
12/630
Arts and Humanities (miscellaneous)";813;80;95;2,191;1,294;John Wiley & Sons
Journal of Brand Management;10,1;"85.0%
72/496
Strategy and Management";1420;141;92;1,887;1,514;Springer Nature
Journal of International Management;10,1;"92.0%
26/333
Finance";2585;255;82;1,729;1,685;Elsevier
Journal of Business and Psychology;10,1;"93.0%
15/218
General Psychology";2695;266;90;2,54;2,313;Springer Nature
Journal of Management Inquiry;10;"90.0%
21/225
General Business, Management and Accounting";1101;110;85;2,323;3,103;SAGE
International Journal of Engineering Business Management;10;"89.0%
24/234
Organizational Behavior and Human Resource Management";1030;103;83;1,639;0,913;SAGE
Journal of Public Policy and Marketing;10;"92.0%
54/731
Economics and Econometrics";806;81;93;1,444;2,525;American Marketing Association
Publications;10;"96.0%
19/535
Communication";1948;195;70;2;1,165;Multidisciplinary Digital Publishing Institute (MDPI)
Management Science;9,9;"87.0%
27/218
Management Science and Operations Research";16205;1640;86;2,878;5,72;INFORMS Institute for Operations Research and the Management Sciences
Group and Organization Management;9,9;"98.0%
13/630
Arts and Humanities (miscellaneous)";1518;153;92;2,142;2,373;SAGE
Journal of Management Analytics;9,9;"98.0%
5/293
Statistics and Probability";1104;112;90;1,49;0,897;Taylor & Francis
Industrial Management and Data Systems;9,9;"95.0%
3/61
Industrial Relations";4653;471;87;1,371;1,279;Emerald Publishing
Journal of International Marketing;9,9;"87.0%
57/451
Business and International Management";835;84;93;1,841;1,683;American Marketing Association
Competition and Change;9,8;"89.0%
24/225
General Business, Management and Accounting";1259;129;83;2,387;2,054;SAGE
Total Quality Management and Business Excellence;9,8;"90.0%
23/225
General Business, Management and Accounting";3341;342;85;1,647;0,966;Taylor & Francis
Review of Accounting Studies;9,8;"93.0%
12/182
Accounting";2449;249;80;3,811;5,817;Springer Nature
Big Data and Cognitive Computing;9,8;"86.0%
130/947
Computer Science Applications";6022;617;76;1,785;0,922;Multidisciplinary Digital Publishing Institute (MDPI)
Annals of Financial Economics;9,8;"94.0%
15/260
Economics, Econometrics and Finance (miscellaneous)";851;87;80;0,786;1,088;World Scientific
APTISI Transactions on Technopreneurship;9,8;"96.0%
65/1620
Education";1400;143;83;0,621;0,266;Pandawan Sejahtera
Project Management Journal;9,7;"87.0%
59/451
Business and International Management";1452;149;90;2,204;1,18;SAGE
IEEE Transactions on Engineering Management;9,7;"89.0%
105/970
Electrical and Electronic Engineering";17420;1792;84;2,262;1,134;IEEE
Organization;9,7;"89.0%
25/225
General Business, Management and Accounting";2345;242;90;2,249;2,861;SAGE
Journal of Industrial Integration and Management;9,7;"91.0%
29/344
General Engineering";971;100;77;1,135;0,597;World Scientific
Innovation: Organization and Management;9,6;"83.0%
51/305
Management of Technology and Innovation";883;92;86;1,898;1,467;Taylor & Francis
Asia-Pacific Journal of Business Administration;9,6;"96.0%
9/242
Public Administration";1500;156;90;1,687;0,961;Emerald Publishing
Journal of Management and Governance;9,6;"86.0%
61/451
Business and International Management";1655;172;92;1,663;1,041;Springer Nature
Engineering, Construction and Architectural Management;9,5;"97.0%
5/203
Architecture";7152;755;93;1,647;1;Emerald Publishing
Global Business Review;9,5;"86.0%
62/451
Business and International Management";3290;346;92;1,249;0,581;SAGE
Decision Sciences;9,4;"87.0%
28/225
General Business, Management and Accounting";1462;156;86;1,46;1,62;John Wiley & Sons
Tourism Economics;9,4;"94.0%
48/841
Geography, Planning and Development";3923;418;89;1,591;1,033;SAGE
Journal of Leadership and Organizational Studies;9,4;"97.0%
42/1497
Sociology and Political Science";989;105;84;1,765;1,687;SAGE
Asia Pacific Journal of Human Resources;9,4;"88.0%
27/234
Organizational Behavior and Human Resource Management";1408;150;82;1,511;1,383;John Wiley & Sons
